Producto,Identificador,Venta,Semana,Fecha
AGUILITA 269X24,036,0,10,03/11/2026
CLUB LTA 269,037,0,10,03/11/2026
CLUB NG LTA 269,038,0,10,03/11/2026
LIGHT LTA 269,039,0,10,03/11/2026
BUDWEISER LATA,040,0,10,03/11/2026
BUW 250 BTLL,041,0,10,03/11/2026
BUDWEISER NR  315,042,0,10,03/11/2026
BUDWEISER LTA355,043,0,10,03/11/2026
BBC LA COTIDIANA,044,0,10,03/11/2026
CORONITA*6,045,100,10,03/11/2026
CORONA,046,0,10,03/11/2026
COSTEÑA BACANA LTA 269X24,047,9,10,03/11/2026
COSTEÑA BACANA 320X24,048,0,10,03/11/2026
COSTEÑA BACANA LTA330,049,0,10,03/11/2026
CORONA LATA,050,1,10,03/11/2026
PONY MINI X30,051,13,10,03/11/2026
MALTA 330,052,41,10,03/11/2026
MALTA LEONA 330,053,0,10,03/11/2026
PONY X 38,054,0,10,03/11/2026
MAL LEONA 400,055,0,10,03/11/2026
PONY PET,056,19,10,03/11/2026
PONY 1.5X 6,057,10,10,03/11/2026
PONY MINI * 24,058,0,10,03/11/2026
"MALTA LEONA 1,5",059,0,10,03/11/2026
P. LITRO X 15,060,3,10,03/11/2026
MALTA LEONA CAFÉ LATA,061,0,10,03/11/2026
ELECTROLIT,062,0,10,03/11/2026
"AGUA ZALVA 1,5",063,4,10,03/11/2026
